feature,coef
user_avg_3m,2.7816625
svd_1,1.0423113
sentiment,0.98926294
svd_2,0.9570839
svd_3,0.54764926
svd_38,0.44257098
user_avg_6m,0.38094094
svd_18,0.37368605
svd_15,0.3004621
svd_22,0.2617921
svd_12,0.20814621
svd_10,0.20161024
svd_36,0.18821532
svd_65,0.18129733
svd_44,0.18002467
svd_19,0.17566106
svd_0,0.16302742
svd_42,0.16004805
svd_47,0.15281807
svd_43,0.14184332
svd_5,-0.73821026
svd_4,-0.48714358
svd_6,-0.37401554
vader_score,-0.34042063
svd_13,-0.195422
svd_37,-0.18589881
user_avg_12m,-0.16666119
svd_41,-0.16318072
svd_8,-0.16203287
svd_32,-0.14992452
svd_31,-0.13937177
svd_17,-0.13678616
svd_28,-0.13614655
svd_76,-0.13141866
svd_63,-0.122593865
svd_29,-0.1210921
svd_51,-0.11213023
svd_9,-0.10502382
svd_46,-0.10270577
svd_87,-0.10004926
